;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199
Subject_IXI261;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.608040201005032;4.974874371859315;7.673366834170849;9.683417085427138;11.03015075376885;12.37688442211055;13.361809045226131;13.894472361809036;11.874371859296488;9.854271356783919;7.94472361809045;7.271356783919593;6.597989949748744;6.0;6.0;5.155778894472363;3.9045226130653248;3.2311557788944683;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.4974874371859244;2.0;2.0;2.522613065326638;2.8040201005025125;2.130653266331656;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.3567839195979872;1.0;1.0;1.0;1.0;0.9899497487437117;0.31658291457286225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_IXI057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6733668341708565;2.1407035175879514;4.934673366834176;6.8643216080402;8.39195979899499;10.487437185929657;11.527638190954775;12.226130653266331;12.924623115577887;13.62311557788945;14.0;13.959798994974875;12.562814070351749;10.748743718592955;8.653266331658287;6.557788944723619;5.48743718592965;5.0;5.0;4.391959798994975;4.306532663316588;5.0;5.0;5.0;4.899497487437188;4.201005025125625;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.4221105527638187;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.437185929648237;2.261306532663326;2.959798994974875;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.5477386934673376;4.0;4.0;4.643216080402013;5.0;5.040201005025125;5.738693467336688;6.0;6.0;6.0;7.065326633165824;8.46231155778895;9.859296482412077;10.0;10.32663316582915;11.0;11.0;10.577889447236174;9.879396984924625;9.180904522613062;7.964824120602998;6.5678391959799;5.170854271356774;1.9346733668341187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_IXI083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11055276381910062;1.5477386934673376;3.969849246231149;6.422110552763826;7.859296482412063;8.64824120603015;9.0;9.085427135678394;9.804020100502512;10.522613065326631;11.241206030150757;11.959798994974875;12.0;11.206030150753762;9.768844221105525;8.331658291457288;6.894472361809051;5.7286432160804;5.010050251256281;3.5829145728643255;3.427135678391963;3.8542713567839186;3.1356783919598;3.5829145728643184;4.0;4.0;4.0;3.5427135678391934;3.175879396984925;3.8944723618090435;3.386934673366831;3.0;3.050251256281406;3.7688442211055246;3.5125628140703498;3.2060301507537687;3.9246231155778872;4.0;4.0;4.0;4.0;4.0;3.7638190954773876;3.045226130653269;3.0;3.0;3.0;3.0;2.4522613065326624;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.4522613065326624;3.0;3.0;3.608040201005025;4.326633165829151;5.0;5.0;5.0;5.201005025125625;5.91959798994975;6.638190954773876;7.713567839195974;9.075376884422113;9.793969849246238;10.51256281407035;11.0;11.0;11.0;10.613065326633162;9.89447236180905;9.175879396984925;6.286432160803997;2.9547738693467522;0.08040201005024983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_IXI104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5678391959799;4.050251256281406;5.316582914572862;6.582914572864311;7.8492462311557745;8.557788944723619;9.0;9.0;9.4572864321608;10.090452261306531;10.723618090452263;10.643216080402013;10.010050251256281;9.376884422110557;8.743718592964825;8.1105527638191;5.909547738693476;4.155778894472363;4.788944723618087;4.577889447236181;4.055276381909543;4.688442211055275;5.0;5.0;4.4120603015075375;4.0;4.0;4.0;4.0;4.0;4.0;4.0201005025125625;4.653266331658287;4.713567839195981;4.080402010050257;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.7487437185929693;3.1155778894472377;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.4170854271356887;2.0;2.0;2.0;2.2311557788944754;3.4974874371859244;4.0;4.0;4.0;4.0;4.0;4.547738693467338;5.0;5.0;5.447236180904525;6.0;6.0;6.346733668341699;6.9798994974874375;8.839195979899486;10.246231155778887;10.879396984924625;11.51256281407035;12.0;12.0;12.0;11.954773869346738;11.321608040201014;10.37688442211055;9.1105527638191;7.844221105527652;5.733668341708608;1.9346733668341756;0.5226130653266381;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_IXI568;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9899497487437188;5.51256281407035;6.829145728643212;8.718592964824111;10.231155778894468;10.8894472361809;11.0;11.0;11.0;11.0;10.457286432160814;8.48241206030152;7.005025125628151;5.688442211055275;4.371859296482413;4.0;4.130653266331656;4.788944723618087;5.0;5.0;5.0;4.577889447236181;3.91959798994975;3.261306532663319;3.396984924623112;3.944723618090457;3.2864321608040257;3.3718592964824126;4.0;4.0;4.0;4.005025125628137;4.663316582914568;4.678391959799001;4.0201005025125625;4.0;4.0;4.0;4.0;3.728643216080407;3.0703517587939757;3.0;3.0;3.0;4.125628140703512;4.778894472361813;4.120603015075382;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.4120603015075375;5.0703517587939615;5.7286432160804;6.0;6.090452261306524;7.4070351758794;8.723618090452248;10.020100502512562;10.678391959798986;11.336683417085425;11.994974874371849;11.346733668341713;11.0;11.0;10.371859296482413;9.713567839195989;9.05527638190955;4.17587939698501;0.7386934673366881;0.08040201005024983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_IXI635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8291457286431978;4.5879396984924625;6.804020100502505;8.346733668341713;9.824120603015075;11.150753768844218;11.889447236180906;12.628140703517587;13.366834170854268;13.577889447236174;10.62311557788945;8.834170854271363;7.356783919597987;5.939698492462313;5.201005025125632;5.0;5.0;4.984924623115582;4.246231155778894;4.492462311557787;4.768844221105532;4.030150753768844;4.0;4.0;4.0;4.0;4.0;4.0;3.859296482412063;3.120603015075382;3.0;3.0;3.0;3.0;3.572864321608037;4.0;4.0;4.0;4.0;4.0;4.005025125628137;4.743718592964825;4.517587939698501;4.0;4.0;4.0;3.562814070351763;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.437185929648237;2.0;2.0;2.0;2.0;2.0;2.0;2.733668341708537;2.527638190954775;2.211055276381913;2.9497487437185868;3.0;3.427135678391963;4.0;4.0;4.643216080402013;5.0;5.120603015075375;5.859296482412063;6.597989949748737;8.683417085427124;12.075376884422113;12.814070351758787;13.0;12.708542713567837;12.0;12.0;11.492462311557787;10.753768844221113;10.015075376884425;7.829145728643212;5.150753768844254;2.597989949748751;1.1206030150753747;0.3216080402010135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_IXI609;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5276381909547752;2.5175879396984904;5.010050251256274;7.165829145728644;7.829145728643212;8.984924623115575;10.155778894472363;10.81909547738693;11.0;11.145728643216081;11.80904522613065;12.472361809045225;12.7286432160804;11.402010050251263;10.075376884422113;8.874371859296481;8.211055276381913;7.095477386934675;5.768844221105525;4.442211055276388;4.0;4.0;4.0;4.0;4.0;4.0;3.5778894472361813;3.085427135678394;3.748743718592962;3.5879396984924625;3.0753768844221128;3.738693467336681;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.994974874371863;3.3316582914572876;3.0;3.0;3.0;2.6783919597990007;2.0150753768844254;2.64824120603015;2.688442211055275;2.0251256281406995;2.0;2.0;2.0;2.6281407035175874;3.0;3.0;3.618090452261299;4.281407035175874;4.94472361809045;5.0;4.7286432160804;4.065326633165824;3.4020100502512634;2.216080402010064;0.2261306532663383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_IXI614;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07537688442209145;3.743718592964811;6.447236180904518;8.64824120603015;10.849246231155782;11.68341708542713;13.251256281407024;15.150753768844218;15.884422110552762;16.618090452261306;17.35175879396985;17.658291457286452;14.723618090452277;12.341708542713576;10.427135678391963;8.979899497487438;8.246231155778894;7.025125628140714;5.778894472361813;5.045226130653269;4.311557788944725;4.0;4.0;4.0;4.0;4.356783919597987;5.0;5.0;4.442211055276388;4.0;4.0251256281406995;4.758793969849243;4.507537688442213;4.0;4.0;4.0;4.0;4.0;4.0;3.3718592964824126;3.3618090452261242;4.095477386934668;4.829145728643212;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.5678391959799;4.0;4.0;4.0;4.0;4.0;4.0;4.5678391959799;5.0;5.0;5.0;5.0;5.0;5.0;5.7035175879397;6.437185929648237;7.170854271356774;7.904522613065325;8.638190954773862;9.371859296482413;10.211055276381899;11.678391959798972;13.145728643216074;14.306532663316574;15.0;15.0;15.0;15.0;15.0;14.291457286432163;13.115577889447252;11.824120603015075;11.090452261306538;9.713567839196003;7.115577889447252;3.6683417085427408;1.4673366834170878;0.4221105527638258;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_IXI049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7185929648241185;2.829145728643198;5.5879396984924625;7.804020100502505;8.673366834170857;9.824120603015075;11.150753768844218;11.889447236180906;12.628140703517587;13.0;12.68341708542713;10.467336683417088;8.834170854271363;7.356783919597987;5.939698492462313;5.201005025125632;4.462311557788944;4.0;4.0;4.0;3.5075376884422127;3.2311557788944683;3.9698492462311563;3.2914572864321627;3.0;3.0;3.0;3.0;3.4020100502512562;3.859296482412063;3.120603015075382;3.0;3.0;2.9045226130653248;2.165829145728644;2.572864321608037;3.0;3.0;3.0;3.0;3.0;3.005025125628137;3.743718592964825;3.517587939698501;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.130653266331663;3.869346733668337;3.391959798994975;3.0;3.0;3.0;3.0;3.0;3.040201005025125;3.778894472361813;4.0;4.256281407035175;4.994974874371863;5.0;5.472361809045225;6.0;6.0;6.688442211055275;7.854271356783926;9.663316582914547;12.618090452261299;13.0;13.0;12.879396984924625;12.140703517587937;11.402010050251263;10.663316582914575;9.924623115577887;9.185929648241213;6.236180904522627;2.834170854271349;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_IXI128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8140703517588008;5.065326633165824;7.105527638190949;8.522613065326624;9.939698492462313;10.678391959798994;11.38693467336683;12.0;12.0;11.48743718592965;10.557788944723626;9.140703517587951;8.361809045226131;7.306532663316588;5.889447236180914;4.472361809045225;4.472361809045225;5.0;5.0;3.8040201005025125;3.306532663316581;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.608040201005025;3.0;3.0;2.482412060301513;2.226130653266331;2.9346733668341685;3.0;3.351758793969843;4.0;4.0;4.0;3.814070351758801;3.1055276381909636;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.7286432160803997;2.0201005025125625;2.0;2.0;2.0;2.0;2.522613065326624;3.0;3.0;3.0;3.356783919597987;4.0;4.0;4.0;4.190954773869336;4.899497487437188;5.608040201005025;6.0;6.050251256281399;7.467336683417074;8.884422110552748;10.150753768844211;10.859296482412049;11.0;11.0;11.0;10.306532663316588;9.59798994974875;8.778894472361827;7.361809045226153;5.94472361809045;3.819095477386938;0.27638190954775155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
