;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199
Subject_002_S_6030;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1105527638190935;5.3316582914572805;7.396984924623105;8.9748743718593;10.35175879396985;11.7286432160804;12.552763819095475;13.0;13.0;13.0;12.693467336683419;12.005025125628144;11.316582914572862;10.256281407035175;9.0;9.0;8.125628140703526;7.0;7.0;5.994974874371863;5.0;5.0;5.0;5.0;5.0;5.0;4.678391959798994;4.0;4.0;4.386934673366831;5.0;5.0;4.547738693467338;4.140703517587937;4.829145728643212;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.336683417085425;5.9748743718593005;5.286432160804026;4.597989949748751;4.0;4.0;4.0;4.0;4.0;3.467336683417088;3.0;3.0;3.0;3.2864321608040115;3.9748743718593005;4.0;4.0;4.0;4.0;4.4170854271356745;5.0;5.0;5.482412060301499;6.170854271356788;6.859296482412063;7.547738693467338;8.472361809045225;9.849246231155774;11.226130653266324;12.301507537688437;12.989949748743712;13.0;13.0;13.0;13.0;12.5678391959799;11.879396984924625;11.19095477386935;10.005025125628151;8.8140703517588;8.125628140703526;4.623115577889422;1.4974874371859244;0.12060301507537474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_032_S_6602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6633165829145753;2.708542713567823;5.190954773869343;5.954773869346731;7.437185929648237;8.482412060301506;9.492462311557787;11.0;11.0;12.075376884422113;12.396984924623112;10.934673366834176;10.170854271356788;9.4070351758794;8.643216080402013;7.879396984924625;7.115577889447238;7.0;6.175879396984925;4.824120603015075;4.060301507537687;4.0;4.0;4.0;4.0;4.758793969849243;5.0;5.0;5.0;5.0;4.422110552763819;4.341708542713569;5.0;5.0;4.3668341708542755;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.743718592964825;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.381909547738701;4.0;4.0;4.0;3.3266331658291506;3.0;3.2010050251256246;3.964824120603012;4.0;3.5075376884422127;3.0;3.0201005025125625;3.78391959798995;4.0;3.688442211055275;3.0;3.0;3.0;3.3668341708542755;4.261306532663298;5.788944723618073;6.0;6.0;6.371859296482398;7.8994974874371735;10.854271356783897;12.477386934673362;12.75879396984925;12.0;12.0;12.0;11.7035175879397;10.879396984924625;9.35175879396985;7.236180904522612;4.5929648241206;1.7688442211055246;0.24120603015074948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_033_S_10016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1959798994974875;0.8140703517587937;2.7286432160803997;5.100502512562812;6.336683417085425;7.286432160804022;7.904522613065328;8.522613065326635;9.0;9.0;9.376884422110557;9.994974874371863;10.61306532663317;11.231155778894475;11.849246231155782;10.597989949748737;8.743718592964818;6.889447236180899;5.035175879396981;3.180904522613062;3.0;3.175879396984925;3.7939698492462313;4.0;4.0;4.0;4.0;4.0;3.4974874371859315;3.1206030150753747;3.738693467336681;4.0;4.0;3.4070351758793933;3.0;3.0;3.0;3.0653266331658315;3.6834170854271377;4.0;4.0;4.0;3.8442211055276374;3.226130653266331;3.391959798994975;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.482412060301513;3.1356783919598;3.7537688442211135;4.0;4.0;4.0;4.0;4.0;3.5376884422110493;3.08040201005025;3.698492462311563;4.0;4.0;4.0;4.0;4.0;4.4070351758794;5.0251256281406995;5.643216080402013;7.045226130653248;9.517587939698501;10.497487437185924;11.0;11.0;11.0;11.0;10.412060301507537;10.0;10.0;8.673366834170835;6.7587939698492505;4.286432160803997;2.7035175879397;2.085427135678387;0.9346733668341756;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_033_S_10740;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.396984924623112;8.100502512562805;10.105527638190956;10.844221105527637;12.165829145728637;13.321608040201006;13.939698492462313;13.201005025125632;10.849246231155774;9.0;9.0;9.0;8.015075376884425;7.231155778894468;7.969849246231156;6.5829145728643255;5.105527638190964;4.0;4.0;4.663316582914568;4.597989949748744;4.0;4.0;4.0;3.643216080402013;3.0954773869346752;3.834170854271356;3.427135678391963;3.0;3.050251256281406;3.788944723618087;4.0;4.0;4.0;4.0;4.482412060301499;5.0;5.0;5.0;5.0;4.824120603015075;4.085427135678401;4.0;3.608040201005025;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.472361809045225;4.0;4.0;4.688442211055275;5.854271356783926;7.0;7.0;10.859296482412077;13.381909547738687;14.120603015075375;14.859296482412063;14.402010050251263;13.32663316582915;11.924623115577887;11.185929648241213;9.89447236180905;7.834170854271349;4.849246231155817;1.1557788944723768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_033_S_10175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5226130653266381;1.603015075376888;3.0;3.0;3.6381909547738758;4.0;4.0;4.0;4.753768844221106;5.0;4.688442211055275;4.0;4.0;4.0;4.0;4.0;4.0;4.763819095477388;5.0;5.0;4.899497487437188;4.120603015075375;4.0;4.437185929648251;5.0;5.0;4.226130653266324;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.7035175879397;6.0;6.0;7.37688442211055;9.402010050251263;11.492462311557802;13.0;13.0;13.0;12.638190954773862;11.859296482412049;11.08040201005025;9.603015075376874;8.522613065326624;7.48743718592965;5.788944723618073;1.115577889447195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_041_S_7017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8643216080401999;3.7989949748743754;6.050251256281392;7.4170854271356745;8.150753768844218;8.884422110552762;9.618090452261306;10.35175879396985;10.914572864321613;10.18090452261307;10.0;9.427135678391963;7.9798994974874375;7.246231155778894;7.0;7.0;7.0;7.0;6.155778894472363;4.8442211055276445;4.110552763819101;3.3768844221105567;3.0;3.0;3.0;2.4422110552763883;2.2914572864321556;3.0;3.0;3.0;3.226130653266331;3.959798994974868;3.306532663316588;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.698492462311563;2.0;2.0;2.0;2.0;2.0;2.7035175879397;3.0;3.170854271356774;3.9045226130653248;4.638190954773862;5.743718592964825;7.105527638190949;7.839195979899486;10.291457286432149;12.306532663316574;12.959798994974875;12.226130653266338;11.492462311557787;10.75879396984925;10.025125628140714;7.874371859296488;3.9045226130653816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_032_S_6294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0552763819095503;3.0753768844221128;3.7989949748743754;4.522613065326638;4.753768844221106;4.030150753768844;4.0;3.5829145728643184;3.1407035175879443;3.8643216080402;4.0;4.0;4.035175879396988;4.7587939698492505;4.517587939698494;4.206030150753769;4.929648241206031;4.346733668341706;4.0;4.0;4.0;4.0;4.2713567839196;4.994974874371863;4.281407035175874;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.532663316582912;3.1909547738693504;3.914572864321613;4.0;3.6381909547738616;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.3216080402010135;3.954773869346724;3.2311557788944754;3.4924623115577873;3.78391959798995;3.0603015075376874;3.6633165829145753;4.0;4.0;4.0;4.0;4.0;4.025125628140685;7.643216080401999;11.261306532663312;13.824120603015075;13.100502512562812;13.0;12.653266331658287;11.859296482412049;10.412060301507523;9.482412060301499;8.517587939698473;7.070351758793976;4.934673366834176;2.35175879396985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_041_S_6731;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.738693467336688;5.7537688442211135;7.864321608040203;8.658291457286435;9.361809045226131;10.065326633165832;10.768844221105532;11.0;11.35175879396985;12.75879396984925;13.0;13.0;13.0;11.613065326633162;11.0;10.89949748743718;10.195979899497488;8.477386934673362;6.577889447236174;5.170854271356774;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.753768844221099;4.050251256281406;4.0;4.0;4.0603015075376945;4.763819095477388;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.095477386934675;5.798994974874375;4.994974874371849;4.206030150753776;4.909547738693469;5.0;5.0;5.0;5.0;5.0;4.869346733668337;4.165829145728637;4.0;4.241206030150764;4.944723618090464;4.35175879396985;4.0;4.0;4.0;4.0;4.0;4.0;3.4271356783919487;3.2763819095477373;3.9798994974874375;4.0;4.0;4.0;4.0;4.0;4.201005025125639;4.904522613065339;5.0;5.311557788944725;6.0;6.0;7.266331658291477;9.125628140703526;9.829145728643226;11.065326633165853;12.236180904522612;12.939698492462313;12.356783919597987;11.653266331658287;11.0;11.0;10.542713567839186;9.678391959798972;8.271356783919572;6.8643216080402;4.371859296482398;0.1507537688441971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_002_S_4799;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0502512562814026;4.5879396984924625;7.3316582914572805;9.472361809045225;10.537688442211056;11.502512562814076;12.929648241206024;13.678391959798994;14.78391959798995;16.105527638190956;16.81909547738693;14.869346733668351;12.507537688442213;11.08040201005025;11.0;10.61306532663317;9.798994974874375;8.371859296482413;8.527638190954775;9.0;9.0;8.331658291457288;7.618090452261306;6.904522613065325;6.1909547738693504;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.482412060301506;5.231155778894468;5.94472361809045;6.0;5.628140703517587;5.0;5.0;5.51256281407035;5.773869346733669;5.060301507537687;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.35175879396985;4.361809045226124;5.0;5.0;5.0;5.0;5.0;4.356783919597987;4.0;4.0;4.0;4.497487437185924;4.788944723618087;4.075376884422113;4.638190954773862;5.0;5.065326633165824;5.778894472361813;6.492462311557787;7.618090452261285;9.75879396984925;12.532663316582898;13.653266331658287;13.060301507537687;13.773869346733662;14.0;14.0;14.0;13.371859296482413;12.658291457286438;11.8894472361809;10.46231155778895;9.517587939698501;8.412060301507537;6.2713567839196145;3.5075376884421985;2.3366834170854247;2.899497487437202;1.4723618090452248;0.5226130653266381;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Subject_137_S_6826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06030150753768737;2.155778894472377;3.8341708542713633;5.231155778894475;6.628140703517587;7.51256281407035;8.211055276381913;8.909547738693469;9.0;9.0;9.0;9.0;8.195979899497488;6.798994974874375;5.402010050251249;4.005025125628137;3.0;3.0;3.5929648241206067;3.7085427135678373;3.0100502512562812;3.688442211055275;3.613065326633162;2.914572864321606;2.21608040201005;2.482412060301513;3.0;3.0;3.0;3.2763819095477373;3.9748743718593005;3.3266331658291435;3.3718592964824126;3.9296482412060243;3.2311557788944683;3.467336683417088;3.834170854271356;3.1356783919598;3.562814070351763;4.0;4.0;4.0;4.0;4.0;4.0;3.5477386934673376;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.040201005025125;3.738693467336688;3.562814070351749;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.422110552763826;4.0;4.0;4.517587939698501;5.21608040201005;5.914572864321613;8.452261306532705;10.311557788944725;11.010050251256288;11.708542713567837;11.5929648241206;11.0;11.0;10.497487437185924;9.195979899497502;6.402010050251249;4.804020100502498;2.814070351758801;0.020100502512548246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
