subject,roqs_prob,roqs_flag,watershed_prob,watershed_flag,cnn_prob,cnn_flag
IXI049,0.0,False,,,0.0001,False
IXI051,0.491,False,0.0005,False,0.1162,False
IXI052,0.0,False,,,0.0,False
IXI056,0.0,False,,,0.0003,False
IXI057,0.0006,False,,,0.0128,False
IXI059,0.0007,False,0.0046,False,0.0641,False
IXI083,0.0004,False,,,0.0003,False
IXI092,0.0003,False,,,0.0002,False
IXI093,0.0001,False,0.0,False,0.0001,False
IXI096,0.0001,False,,,0.2331,False
IXI104,0.0208,False,,,0.0005,False
IXI127,0.0002,False,,,0.0001,False
IXI128,0.0112,False,,,0.0014,False
IXI146,0.0004,False,,,0.0033,False
IXI150,0.0024,False,,,0.0089,False
IXI173,0.128,False,,,0.0001,False
IXI242,0.2115,False,,,0.0001,False
IXI254,0.0001,False,0.0001,False,0.0254,False
IXI256,0.0037,False,,,0.0002,False
IXI261,0.0009,False,,,0.0018,False
IXI263,0.0,False,,,0.0001,False
IXI436,0.0001,False,,,0.0001,False
IXI522,0.0006,False,,,0.3614,False
IXI524,0.0001,False,,,0.1795,False
IXI567,0.0001,False,,,0.0,False
IXI568,0.003,False,,,0.0008,False
IXI586,0.0,False,,,0.0001,False
IXI609,0.0202,False,,,0.001,False
IXI611,0.0001,False,,,0.162,False
IXI612,0.0001,False,,,0.0,False
IXI613,0.0003,False,,,0.0,False
IXI614,0.0001,False,,,0.0001,False
IXI634,0.0001,False,,,0.0006,False
IXI635,0.0071,False,,,0.0048,False
IXI072,0.0001,False,0.9884,True,0.2388,False
IXI161,0.0,False,,,0.0002,False
IXI167,0.0002,False,,,0.0057,False
IXI175,0.002,False,,,0.3049,False
IXI204,0.0009,False,,,0.0002,False
IXI216,0.0001,False,,,0.08,False
IXI252,0.0001,False,,,0.0726,False
IXI257,0.0001,False,,,0.9994,True
IXI274,0.0,False,0.0003,False,0.0007,False
IXI313,0.0001,False,,,0.0005,False
IXI327,0.0001,False,,,0.0001,False
IXI334,0.0,False,,,0.0001,False
IXI335,0.0023,False,,,0.0059,False
IXI383,0.0007,False,,,0.0328,False
IXI384,0.0002,False,,,0.0073,False
IXI443,0.0001,False,0.1558,False,0.0001,False
IXI448,0.0001,False,,,0.0,False
IXI465,0.0002,False,,,0.0061,False
IXI481,0.0002,False,,,0.0144,False
IXI482,0.0021,False,,,0.2631,False
IXI484,0.0001,False,0.0255,False,0.0006,False
IXI485,0.0001,False,0.0,False,0.0015,False
IXI518,0.9989,True,,,0.089,False
IXI521,0.0002,False,0.0002,False,0.0001,False
IXI537,0.7759,True,,,0.0007,False
IXI538,0.005,False,,,0.0262,False
IXI559,0.0004,False,,,0.0001,False
IXI603,0.0,False,,,0.0021,False
IXI605,0.0006,False,,,0.0005,False
IXI646,0.0692,False,,,0.2689,False
